occupants,lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0494,0.559,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.517,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.517,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.503,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.461,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.503,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.601,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.657,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.475,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.322,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.336,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.35,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.336,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.392,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.433,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0494,0.447,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0521,0.545,0.0521,0,0,0,0,0.36,0.532,0.532,0,0,0
1,0.0521,0.741,0.0521,0,0,0,0,0.36,0.532,0.532,0,0,0.333
1,0.0521,0.881,0.0521,0,0,0,0,0.36,0.532,0.532,0,0,0
1,0.0521,0.937,0.0521,0,0,0,0,0.36,0.532,0.532,0,0,0
1,0.1,0.993,0.1,0,0,0,0,0.381,0.542,0.542,0,0,0.333
1,0.1,0.965,0.1,0,0,0,0,0.381,0.542,0.542,0,0,0
1,0.1,0.825,0.1,0,0,0,0,0.381,0.542,0.542,0,0,0
1,0.1,0.699,0.1,0,0,0,0,0.381,0.542,0.542,0,0,0.202
1,0.201,0.559,0.201,0,0,0,0,0.43,0.579,0.579,0,0,0
1,0.201,0.517,0.201,0,0,0,0,0.43,0.579,0.579,0,0,0.136
1,0.201,0.517,0.201,0,0,0,0,0.43,0.579,0.579,0,0,0.0816
1,0.201,0.503,0.201,0,0,0,0,0.43,0.579,0.579,0,0,0
1,0.447,0.461,0.447,0,0,0,0,0.657,0.787,0.787,0,0,0
1,0.447,0.503,0.447,0,0,0,0,0.657,0.787,0.787,0,0,0.474
1,0.447,0.601,0.447,0,0,0,0,0.657,0.787,0.787,0,0,0
1,0.447,0.657,0.447,0,0,0,0,0.657,0.787,0.787,0,0,0.0576
1,0.475,0.475,0.475,0,0,0,0,0.475,0.806,0.806,0,0,0.21
1,0.475,0.322,0.475,0,0,0,0,0.475,0.806,0.806,0,0,0
0.5,0.262,0.336,0.262,0,0,0,0,0.367,0.635,0.635,0,0,0
0.5,0.262,0.35,0.262,0,0,0,0,0.367,0.635,0.635,0,0,0.329
0,0.0494,0.336,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.392,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.433,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.398
0,0.0494,0.447,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.0663
0,0.0494,0.545,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.741,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.881,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.937,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.993,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.965,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.825,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.0663
0,0.0494,0.699,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.0663
0,0.0494,0.559,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.517,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.265
0,0.0494,0.517,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.199
0,0.0494,0.503,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.461,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0494,0.503,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.245,0.601,0.245,0,0,0,0,0.325,0.654,0.654,0,0,0
0.5,0.245,0.657,0.245,0,0,0,0,0.325,0.654,0.654,0,0,0
0.5,0.248,0.475,0.248,0,0,0,0,0.346,0.645,0.645,0,0,0
0.5,0.248,0.322,0.248,0,0,0,0,0.346,0.645,0.645,0,0,0
0.5,0.248,0.336,0.248,0,0,0,0,0.346,0.645,0.645,0,0,0
0.5,0.248,0.35,0.248,0,0,0,0,0.346,0.645,0.645,0,0,0
0.5,0.272,0.336,0.272,0,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.272,0.392,0.272,0,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.272,0.433,0.272,0,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.272,0.447,0.272,0,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.331,0.545,0.331,0,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.331,0.741,0.331,0,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.331,0.881,0.331,0,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.331,0.937,0.331,0,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.43,0.993,0.43,0,0,0,0,0.499,0.72,0.72,0,0,0
0.5,0.43,0.965,0.43,0,0,0,0,0.499,0.72,0.72,0,0,0.133
0.5,0.43,0.825,0.43,0,0,0,0,0.499,0.72,0.72,0,0,0.199
0,0.0494,0.699,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.0663
0,0.0494,0.559,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0.566
0,0.0494,0.517,0.0494,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.517,0.517,0.517,0,0,0,0,0.569,0.729,0.729,0,0,0.0663
