occupants,lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0493,0.559,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.461,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.601,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.657,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.413
1,0.0493,0.475,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.322,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.35,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.392,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.433,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.447,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.545,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.741,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.881,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.937,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.993,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.965,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.825,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.699,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.559,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.248,0.461,0.248,0,0,0,0,0.457,0.626,0.626,0,0,0
1,0.248,0.503,0.248,0,0,0,0,0.457,0.626,0.626,0,0,0.349
1,0.447,0.601,0.447,0,0,0,0,0.657,0.787,0.787,0,0,0
1,0.447,0.657,0.447,0,0,0,0,0.657,0.787,0.787,0,0,0
1,0.475,0.475,0.475,0,0,0,0,0.475,0.806,0.806,0,0,0.319
1,0.475,0.322,0.475,0,0,0,0,0.475,0.806,0.806,0,0,0
1,0.475,0.336,0.475,0,0,0,0,0.475,0.806,0.806,0,0,0
1,0.475,0.35,0.475,0,0,0,0,0.475,0.806,0.806,0,0,0.524
1,0.489,0.336,0.489,0,0,0,0,0.322,0.806,0.806,0,0,0
1,0.489,0.392,0.489,0,0,0,0,0.322,0.806,0.806,0,0,0.0534
0,0.0493,0.433,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.213
0,0.0493,0.447,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.545,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.741,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.881,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.937,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.993,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.165
0,0.0493,0.965,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0825
0,0.0493,0.825,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.699,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.165
0,0.0493,0.559,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.413
0,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.495
0,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.495
0,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0825
0,0.0493,0.461,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0825
0,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.601,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.657,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.475,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.322,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.35,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.392,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.272,0.433,0.272,0.267,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.272,0.447,0.272,0.733,0,0,0,0.353,0.664,0.664,0,0,0.161
0.5,0.333,0.545,0.333,0,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.333,0.741,0.333,0,0,0,0,0.402,0.682,0.682,0,0,0.176
0.5,0.333,0.881,0.333,0,0,0,0,0.402,0.682,0.682,0,0,0
1,0.616,0.937,0.616,0,0,0,0,0.545,0.899,0.899,0,0,0
1,0.817,0.993,0.817,0,0,0,0,0.741,0.974,0.974,0,0,0
1,0.817,0.965,0.817,0,0,0,0,0.741,0.974,0.974,0,0,0
1,0.817,0.825,0.817,0,0,0,0,0.741,0.974,0.974,0,0,0
1,0.817,0.699,0.817,0,0,0,0,0.741,0.974,0.974,0,0,0
0.5,0.518,0.559,0.518,0,0,0,0,0.569,0.729,0.729,0,0,0
0.5,0.518,0.517,0.518,0,0,0,0,0.569,0.729,0.729,0,0,0
0.5,0.518,0.517,0.518,0,0,0,0,0.569,0.729,0.729,0,0,0
0.5,0.518,0.503,0.518,0,0,0,0,0.569,0.729,0.729,0,0,0
0.5,0.513,0.461,0.513,0,0,0,0,0.597,0.701,0.701,0,0,0
0.5,0.513,0.503,0.513,0,0,0,0,0.597,0.701,0.701,0,0,0
0.5,0.513,0.601,0.513,0,0,0,0,0.597,0.701,0.701,0,0,0
0.5,0.513,0.657,0.513,0,0,0,0,0.597,0.701,0.701,0,0,0.403
0.5,0.424,0.475,0.424,0,0,0,0,0.625,0.673,0.673,0,0,0
0.5,0.424,0.322,0.424,0,0,0,0,0.625,0.673,0.673,0,0,0
0.5,0.424,0.336,0.424,0,0,0,0,0.625,0.673,0.673,0,0,0.286
0.5,0.0493,0.35,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0825
0.5,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0825
0.5,0.0493,0.392,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.33
0.5,0.0493,0.433,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.0493,0.447,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.286,0.545,0.286,0,0,0,0,0.541,0.607,0.607,0,0,0.248
1,0.286,0.741,0.286,0,0,0,0,0.541,0.607,0.607,0,0,0
1,0.286,0.881,0.286,0,0,0,0,0.541,0.607,0.607,0,0,0
1,0.286,0.937,0.286,0,0,0,0,0.541,0.607,0.607,0,0,0
1,0.149,0.993,0.149,0,0,0,0,0.478,0.57,0.57,0,0,0
1,0.149,0.965,0.149,0.267,0,0,0,0.478,0.57,0.57,0,0,0.0825
1,0.149,0.825,0.149,0.733,0,0,0,0.478,0.57,0.57,0,0,0
1,0.149,0.699,0.149,0,0,0,0,0.478,0.57,0.57,0,0,0
1,0.0864,0.559,0.0864,0,0,0,0,0.409,0.56,0.56,0,0,0
1,0.0864,0.517,0.0864,0,0,0,0,0.409,0.56,0.56,0,0,0.157
1,0.0864,0.517,0.0864,0,0,0,0,0.409,0.56,0.56,0,0,0.0825
1,0.0864,0.503,0.0864,0,0,0,0,0.409,0.56,0.56,0,0,0
1,0.0617,0.461,0.0617,0,0,0,0,0.388,0.542,0.542,0,0,0.277
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.601,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.657,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.475,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.322,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0825
1,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.35,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.392,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.433,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.447,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.545,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.741,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.881,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.937,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.993,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.965,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.825,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.699,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.559,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.461,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.601,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.657,0.0493,0.267,0,0,0,0.258,0.465,0.465,0,0,0
1,0.475,0.475,0.475,1,0,0,0,0.475,0.806,0.806,0,0,0
1,0.475,0.322,0.475,0.8,0,0,0,0.475,0.806,0.806,0,0,0.238
1,0.475,0.336,0.475,0,0,0,0,0.475,0.806,0.806,0,0,0
1,0.475,0.35,0.475,0,0,0,0,0.475,0.806,0.806,0,0,0.133
1,0.489,0.336,0.489,0,0,0,0,0.322,0.806,0.806,0,0,0.293
1,0.489,0.392,0.489,0,0,0,0,0.322,0.806,0.806,0,0,0
1,0.489,0.433,0.489,0,0,0,0,0.322,0.806,0.806,0,0,0
1,0.489,0.447,0.489,0,0,0,0,0.322,0.806,0.806,0,0.102,0.126
1,0.475,0.545,0.475,0,0,0,0,0.336,0.806,0.806,0,0.223,0
